POT Value 1,POT Value 2,Gesture,Iteration
44650,29975,flex,4
44602,29991,flex,4
44698,30663,flex,4
44970,30791,flex,4
44394,30503,flex,4
44794,29783,flex,4
44554,29447,flex,4
44714,30631,flex,4
44586,30103,flex,4
44810,30487,flex,4
44970,30327,flex,4
44538,30407,flex,4
44954,29591,flex,4
44730,30439,flex,4
44378,30487,flex,4
44874,30007,flex,4
44986,31159,flex,4
44938,30743,flex,4
44266,29143,flex,4
44234,29879,flex,4
44602,30247,flex,4
45115,30887,flex,11
41994,30247,flex,11
41834,30231,flex,11
41146,29479,flex,11
42122,30551,flex,11
42026,30087,flex,11
42250,30775,flex,11
42474,30407,flex,11
41930,29879,flex,11
41834,29767,flex,11
41690,30823,flex,11
42394,30599,flex,11
42154,30231,flex,11
42426,30983,flex,11
42458,29783,flex,11
42202,30023,flex,11
41962,30103,flex,11
41786,30695,flex,11
41994,30087,flex,11
41962,30775,flex,11
42442,30935,flex,11
41914,29847,flex,11
42330,30919,flex,11
41626,30471,flex,11
42506,30999,flex,11
42282,30439,flex,11
42522,29831,flex,11
41450,29431,flex,11
41866,28951,flex,11
42218,30935,flex,11
41706,30407,flex,11
41994,30935,flex,11
41930,29879,flex,11
41578,29943,flex,11
41482,29831,flex,11
42234,30807,flex,11
42154,30487,flex,11
42266,30759,flex,11
42314,30919,flex,11
42090,30119,flex,11
41818,27910,flex,11
42282,31847,flex,11
41642,29687,flex,11
42186,30295,flex,11
42490,30759,flex,11
41866,30727,flex,11
41434,29783,flex,11
42058,31287,flex,11
42154,30215,flex,11
41706,29767,flex,11
42346,31687,flex,11
42554,29735,flex,11
42122,29511,flex,11
41866,30343,flex,11
42378,30935,flex,11
42474,30903,flex,11
42266,31239,flex,11
42314,29831,flex,11
42074,29895,flex,11
41882,29639,flex,11
42170,30407,flex,11
42058,30631,flex,11
41706,29751,flex,11
42490,30583,flex,11
42346,30119,flex,11
42138,29655,flex,11
41674,29991,flex,11
41818,30775,flex,11
41834,30039,flex,11
42554,31159,flex,11
42522,30375,flex,11
41658,29079,flex,11
41658,31063,flex,11
42298,29127,flex,11
41850,29639,flex,11
41962,31271,flex,11
42378,30023,flex,11
41066,29447,flex,11
42330,31207,flex,11
41994,29735,flex,11
42522,30695,flex,11
42138,31319,flex,11
42346,28006,flex,11
41818,29863,flex,11
41946,30119,flex,11
41818,30871,flex,11
42186,30167,flex,11
42458,30359,flex,11
42570,30503,flex,11
41786,30535,flex,11
41786,28630,flex,11
42266,30727,flex,11
41898,30695,flex,11
42650,31111,flex,11
42586,29991,flex,11
42506,29719,flex,11
41738,29543,flex,11
41754,30631,flex,11
41706,30359,flex,11
42282,30519,flex,11
42074,30695,flex,11
42570,30039,flex,11
42410,29911,flex,11
41946,29959,flex,11
42458,30663,flex,11
42410,30263,flex,11
42538,31335,flex,11
42570,29895,flex,11
42090,29991,flex,11
41434,28951,flex,11
42266,30247,flex,11
42298,30103,flex,11
42442,31063,flex,11
42378,30631,flex,11
42586,30167,flex,11
41514,29511,flex,11
41738,30551,flex,11
41738,30295,flex,11
42250,30023,flex,11
42442,30919,flex,11
42506,29975,flex,11
41914,29735,flex,11
41370,30471,flex,11
42330,30647,flex,11
41802,30007,flex,11
42650,31079,flex,11
41994,30407,flex,11
